STT,Motion,Tập,Cam 1,Cam 2
1,Axel_1,S1,3,5
2,Axel_10,S1,10,11
3,Axel_2,S1,3,5
4,Axel_3,S1,3,5
5,Axel_4,S1,3,5
6,Axel_5,S1,7,9
7,Axel_6,S1,3,5
8,Axel_7,S1,7,9
9,Axel_8,S1,11,12
10,Axel_9,S1,7,9
11,Comb_1,S1,7,8
12,Comb_2,S1,2,4
13,Comb_3,S1,7,8
14,Flip_1,S1,2,3
15,Flip_10,S1,7,8
16,Flip_2,S1,11,12
17,Flip_3,S1,7,8
18,Flip_4,S1,10,12
19,Flip_5,S1,10,11
20,Flip_6,S1,7,8
21,Flip_7,S1,7,8
22,Flip_8,S1,7,9
23,Flip_9,S1,7,9
24,Loop_1,S1,7,8
25,Loop_10,S1,2,3
26,Loop_2,S1,7,9
27,Loop_3,S1,1,2
28,Loop_4,S1,1,2
29,Loop_5,S1,7,9
30,Loop_6,S1,1,2
31,Loop_7,S1,7,9
32,Loop_8,S1,1,2
33,Loop_9,S1,11,12
34,Lutz_1,S1,2,3
35,Lutz_10,S1,1,2
36,Lutz_2,S1,3,5
37,Lutz_3,S1,8,10
38,Lutz_4,S1,2,3
39,Lutz_5,S1,2,3
40,Lutz_6,S1,2,3
41,Lutz_7,S1,2,3
42,Lutz_8,S1,2,3
43,Lutz_9,S1,3,5
44,Salchow_1,S1,2,3
45,Salchow_10,S1,7,9
46,Salchow_2,S1,1,2
47,Salchow_3,S1,7,9
48,Salchow_4,S1,7,9
49,Salchow_5,S1,7,9
50,Salchow_6,S1,2,3
51,Salchow_7,S1,7,9
52,Salchow_8,S1,7,9
53,Salchow_9,S1,7,9
54,Toeloop_1,S1,2,3
55,Toeloop_10,S1,10,11
56,Toeloop_2,S1,1,2
57,Toeloop_3,S1,8,10
58,Toeloop_4,S1,11,12
59,Toeloop_5,S1,3,5
60,Toeloop_6,S1,10,11
61,Toeloop_7,S1,3,5
62,Toeloop_8,S1,3,5
63,Toeloop_9,S1,3,5
64,Running_37,S2,3,4
65,Running_38,S2,3,4
66,Running_39,S2,3,4
67,Running_40,S2,3,4
68,Running_41,S2,3,4
69,Running_42,S2,3,4
70,Running_43,S2,3,4
71,Running_44,S2,3,4
72,Running_45,S2,3,4
73,Running_46,S2,3,4
74,Running_47,S2,3,4
75,Running_48,S2,3,4
76,Running_49,S2,3,4
77,Running_50,S2,3,4
78,Running_51,S2,1,4
79,Running_52,S2,3,4
80,Running_53,S2,3,4
81,Running_54,S2,3,4
82,Running_55,S2,3,4
83,Running_56,S2,3,4
84,Running_57,S2,3,4
85,Running_58,S2,3,4
86,Running_59,S2,3,4
87,Running_60,S2,3,4
88,Running_61,S2,3,4
89,Running_62,S2,3,4
90,Running_63,S2,3,4
91,Running_64,S2,3,4
92,Running_65,S2,3,4
93,Running_66,S2,3,4
94,Running_67,S2,3,4
95,Running_68,S2,3,4
96,Running_69,S2,3,4
97,Running_70,S2,3,4
98,Running_71,S2,3,4
99,Running_72,S2,3,4
100,Running_73,S2,3,4
101,Discus_17,S3,6,8
102,Discus_18,S3,5,7
103,Discus_19,S3,6,8
104,Discus_20,S3,7,8
105,Discus_error_10,S3,2,6
106,Discus_error_9,S3,6,8
107,Glide_shot_put_17,S3,2,8
108,Glide_shot_put_18,S3,2,8
109,Glide_shot_put_19,S3,6,8
110,Glide_shot_put_20,S3,5,7
111,Glide_shot_put_error_10,S3,5,7
112,Glide_shot_put_error_9,S3,5,7
113,Javelin_16,S3,5,7
114,Javelin_17,S3,5,7
115,Javelin_18,S3,5,7
116,Javelin_19,S3,2,6
117,Javelin_error_10,S3,5,7
118,Javelin_error_9,S3,2,6
119,Shot_put_17,S3,7,8
120,Shot_put_18,S3,6,8
121,Shot_put_19,S3,5,7
122,Shot_put_20,S3,5,7
123,Shot_put_error_10,S3,5,7
124,Shot_put_error_9,S3,5,7
125,Spin_discus_17,S3,5,7
126,Spin_discus_20,S3,5,7
127,Spin_discus_18,S3,5,7
128,Spin_discus_19,S3,5,7
129,Spin_discus_20,S3,5,7
130,Spin_discus_error_10,S3,5,7
131,Spin_discus_error_9,S3,5,7
